uid,uf,state,cases,deaths,suspects,refuses,datetime
35,SP,São Paulo,6650301,180978,5334,596,2023-08-11T17:33:38.421Z
31,MG,Minas Gerais,4209719,65740,925,104,2023-08-11T17:33:38.421Z
43,RS,Rio Grande do Sul,3051755,42428,416,330,2023-08-11T17:33:38.421Z
41,PR,Paraná,2949869,46450,400,119,2023-08-11T17:33:38.421Z
33,RJ,Rio de Janeiro,2822569,77367,1254,148,2023-08-11T17:33:38.421Z
42,SC,Santa Catarina,2028954,22859,346,47,2023-08-11T17:33:38.421Z
52,GO,Goiás,1949272,28311,353,55,2023-08-11T17:33:38.421Z
29,BA,Bahia,1805388,31696,573,36,2023-08-11T17:33:38.421Z
23,CE,Ceará,1470946,28211,493,89,2023-08-11T17:33:38.421Z
32,ES,Espírito Santo,1339090,15107,71,21,2023-08-11T17:33:38.421Z
26,PE,Pernambuco,1191503,23012,89,23,2023-08-11T17:33:38.421Z
53,DF,Distrito Federal,911135,11871,327,107,2023-08-11T17:33:38.421Z
51,MT,Mato Grosso,886763,15139,45,8,2023-08-11T17:33:38.421Z
15,PA,Pará,884181,19146,43,23,2023-08-11T17:33:38.421Z
25,PB,Paraíba,712789,10575,85,11,2023-08-11T17:33:38.421Z
13,AM,Amazonas,637301,14481,18,26,2023-08-11T17:33:38.421Z
50,MS,Mato Grosso do Sul,615459,11085,93,26,2023-08-11T17:33:38.421Z
24,RN,Rio Grande do Norte,592076,8993,108,22,2023-08-11T17:33:38.421Z
21,MA,Maranhão,496960,11078,125,13,2023-08-11T17:33:38.421Z
11,RO,Rondônia,487941,7466,61,2,2023-08-11T17:33:38.421Z
22,PI,Piauí,433438,8393,12,2,2023-08-11T17:33:38.421Z
17,TO,Tocantins,371606,4245,13,0,2023-08-11T17:33:38.421Z
28,SE,Sergipe,363112,6535,15,11,2023-08-11T17:33:38.421Z
27,AL,Alagoas,340853,7300,43,22,2023-08-11T17:33:38.421Z
16,AP,Amapá,186293,2169,15,0,2023-08-11T17:33:38.421Z
14,RR,Roraima,185825,2199,9,0,2023-08-11T17:33:38.421Z
12,AC,Acre,163959,2063,12,0,2023-08-11T17:33:38.421Z
